Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.2		1.064897	1.024211	1.046491	1.00092674	1.026419	1.038648	1.029592	1.069445	1.017606	1.018124	1.032557	0.987736	0.9957995	1.0017818	1.016436	0.9999736	1.026768	1.042792	0.9933908	1.02063	1.01205	1.070447	0.9924645	0.959671	1.080682	0.986925	1.052117	1.054052	1.013261
0.21		1.034479	1.0051257	1.024986	1.0069558	1.010472	1.026742	1.038433	1.067111	1.0042684	0.97236	1.03768	1.06513	1.040009	0.9988505	1.025765	1.015995	1.015666	1.017238	1.045072	0.9936031	1.0094707	1.034563	0.99915199	1.068987	1.027471	1.00074256	1.069741	1.055541	1.019807
0.22		1.013516	1.0099789	1.019703	1.01661	1.014779	1.017041	1.071184	1.064758	1.0083143	1.06874	1.031329	0.97442	0.951046	1.032683	1.026848	1.023752	1.015206	1.052497	1.022025	1.089347	1.023315	1.0043971	0.975856	0.986127	0.964805	1.025742	1.029886	1.058994	0.985822
0.23		1.04307	1.0089289	1.045336	0.9969555	1.0090519	1.033398	1.050577	1.012176	0.977738	1.039193	1.03507	0.9960635	1.045073	1.045605	1.012503	0.978752	1.04632	1.022402	1.070098	1.028628	1.024959	1.049942	0.9918904	0.966596	1.07021	1.060311	1.029929	1.031562	1.032993
0.24		1.06233	1.058285	0.9980345	1.024951	1.0059903	0.9987038	1.071385	1.034508	1.023431	1.07091	1.0076076	1.018087	1.033562	1.023416	1.083782	0.9912968	1.047888	1.033774	1.052487	0.984047	1.038423	1.00087526	0.9941898	0.9907159	1.023632	1.033665	1.055536	0.9963512	1.0068234
0.25		1.042074	1.037184	1.0048213	1.0080806	1.022682	1.048637	1.012896	1.054516	0.988136	1.086274	0.9982086	1.057289	1.012354	0.9989114	1.10486	1.053549	1.036512	1.034944	1.071694	1.030371	1.045099	0.9905403	1.04227	1.061017	1.027456	1.033305	1.058679	1.021533	1.025579
0.26		1.061407	1.056781	0.9987204	1.013438	1.042698	1.085645	1.038391	0.971238	1.0034464	1.043839	1.026533	1.014674	1.045768	1.038696	0.981117	0.9936531	1.030058	1.028696	1.028441	1.068595	1.030259	1.034361	1.057209	0.998404	1.03016	0.987888	1.024858	0.9999814	0.9938184
0.27		1.01643	0.989236	1.037577	0.9956085	1.0095666	1.031024	1.040731	1.017097	1.012394	1.038321	1.071723	1.031322	0.970626	0.985176	1.013239	1.0026551	0.976591	1.034577	0.984938	1.024852	1.0036205	0.998774	1.10766	1.018788	0.961991	0.986708	1.029634	1.008703	0.958619
0.28		1.052128	1.022659	1.016054	1.012253	0.96678	0.982684	1.016145	1.054263	1.033373	1.02086	0.976158	1.00017838	0.965795	1.0060228	1.060286	0.98525	1.00041402	1.0052803	1.035964	1.0093018	1.0053985	1.018953	1.0056841	1.020131	0.975097	1.015771	1.029018	0.9929526	1.0085949
0.29		1.0030798	0.996965	1.029643	1.051501	1.00058668	1.012914	1.035723	0.9912053	0.967298	1.046735	1.0020011	1.034555	0.93672	1.0080367	1.029295	0.9917104	0.981104	1.028051	1.0080313	1.018686	1.015417	1.041127	1.034188	1.032393	1.052597	1.0022591	1.022207	0.9901599	1.013206
