Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
0.39	1.036222	1.024506	1.016075	1.0090982	1.029246	1.056718	1.017463	0.987458	1.035804	0.944752	1.015811	1.099238	1.076643	1.03709	1.051519
0.4	1.010117	1.011141	0.99942341	1.0043469	1.012756	1.022847	1.041283	1.030279	1.066196	0.9908972	1.021388	0.97777	1.049935	1.036762	1.03155
0.41	0.9906892	1.037356	1.024938	1.0068735	0.9904522	1.046637	1.00021094	1.015798	1.044059	1.041891	1.033465	1.0083024	1.067457	1.048432	0.988602
0.42	0.9902949	1.025283	1.015614	1.0034207	1.0045247	1.014866	1.011773	0.945669	0.974973	0.982151	1.068546	1.045141	1.0058662	0.980001	1.018438
0.43	1.0052686	1.0043901	0.9936841	0.99936118	0.9922366	1.054944	1.037927	1.080576	1.0026309	0.980605	1.013767	1.053151	1.025058	1.01317	1.023074
0.44	1.011014	1.036615	1.013707	1.00071605	1.03394	1.033373	1.028393	1.066568	1.019856	1.032961	1.079008	0.9942679	1.093801	1.032815	0.9902996
0.45	1.035977	1.026293	1.032491	1.010429	1.039512	1.073657	1.044086	1.02949	0.9905668	0.989755	1.076272	1.048361	1.043097	1.047751	0.964139
0.46	1.0026552	1.0055257	0.973841	1.00029365	1.066213	1.051265	0.981904	1.016848	1.042334	1.035713	1.076035	1.069526	1.046974	1.052828	1.012645
0.47	0.9953123	1.01011	1.0072683	0.99941952	1.0061163	1.0094341	1.084635	1.053758	1.03032	1.031487	1.024133	0.9917157	1.042763	1.02587	1.01626
0.48	1.00021164	1.052654	0.977479	1.00084872	1.090983	1.037437	1.0082472	0.983768	1.04667	1.022836	0.977119	1.023789	0.970448	1.028933	1.06318
0.49	1.012841	1.0064937	0.99917526	1.00057397	1.074676	1.0302	1.022218	1.028173	1.026191	1.023437	0.947733	0.9924437	0.9956822	1.0097958	0.99955925
0.5	1.009987	0.996885	0.983027	1.010272	1.014299	1.021074	1.015368	1.05095	1.051109	0.959758	1.0098232	1.0088738	1.046378	0.936545	1.027626
0.51	0.995728	1.0049952	1.023502	1.013174	1.010639	1.0079165	1.088568	0.99941305	0.986337	0.960765	1.033374	1.055757	1.014929	1.020038	1.020411
0.52	1.020007	1.012539	0.9942128	1.0082023	1.031475	1.083341	0.984058	1.0003771	1.041401	1.03536	1.0012656	1.047882	1.060749	0.99031	1.01794
0.53	1.012931	1.017013	1.0212	1.012289	1.040808	1.04017	0.9976897	1.010361	1.03049	1.0060443	1.010501	1.038449	1.028965	0.967591	1.0018031
0.54	1.021262	1.024125	1.027507	0.9981136	1.027456	1.030437	1.0044024	1.083417	1.052336	1.063041	1.032435	0.95098	1.042919	0.986652	1.0093238
0.55	1.00218	1.0059574	1.00082994	0.9977313	1.0041733	1.0027332	1.028877	0.986824	1.015029	1.033114	1.054204	1.014817	1.027994	0.976825	1.034423
0.56	0.9937645	1.028503	1.016914	1.0055101	1.037891	1.061377	0.9961027	0.977626	1.015058	1.036092	1.015608	1.045102	1.054691	1.016678	1.0074096
0.57	1.0054066	1.029165	0.9979887	1.0030519	0.983117	1.076592	0.9930868	1.0022624	1.036971	1.0051569	0.981733	1.017274	1.056504	1.019515	0.971122
0.58	1.0060879	1.01644	1.011775	1.0081955	1.071755	1.059285	1.023595	1.013693	1.062968	0.961882	1.057433	1.00719	1.098352	1.1018	1.014888
0.59	0.988807	1.0069984	0.978584	0.999961776	0.9906019	1.078454	1.04412	1.029484	1.017311	1.033243	1.026398	0.996317	1.041366	1.011748	1.02353
0.6	1.010447	0.9968573	0.996364	1.003861	0.9969381	1.018688	1.0012666	1.012402	0.971113	1.026629	1.044623	1.045885	1.04112	0.950052	1.0053111
0.61	1.0072619	0.99925166	1.025199	1.0049862	0.982177	1.029203	1.018409	1.0037058	1.015417	0.9927625	1.0094466	0.9956506	1.030709	1.01532	1.030572
0.62	1.022476	1.036907	0.988706	0.99947975	0.977605	1.070543	1.033052	1.028935	0.970552	1.0071262	0.989231	0.976158	1.086887	1.020254	0.99905825
0.63	1.0043641	1.013174	1.012443	1.0066459	0.983538	1.043343	1.0013085	1.041826	0.9924446	1.033869	1.057426	1.022861	1.041735	0.963532	1.0015227
0.64	1.01388	0.9947226	0.991148	1.014536	1.010231	0.963458	0.973017	1.046082	1.0067645	1.027258	1.0079321	1.037548	1.013773	0.968727	1.02472
0.65	0.989692	1.0019671	0.993953	1.007483	1.011371	1.051516	1.036044	1.034826	0.987823	1.0068627	1.038065	1.029046	1.042984	0.9975024	1.028395
0.66	0.994093	0.9918643	0.9985636	1.0080822	0.985728	1.072596	0.971036	0.9988622	0.9972374	1.020832	0.9959944	0.982151	1.022652	1.018378	0.9908788
0.67	1.035756	1.019803	0.956239	0.9945386	1.0018203	0.9923689	1.039067	1.018667	0.967676	1.055037	1.013743	0.9979841	1.052538	1.025031	1.010799
0.68	0.9953835	1.029759	0.981618	1.0057936	1.031554	1.037881	0.9968798	1.014201	1.014904	0.982139	1.02764	1.013793	1.0047101	1.0054209	0.987475
0.69	0.9980625	0.981757	1.011554	1.0046423	1.032875	1.070989	1.067473	1.03192	0.9909882	1.013807	1.042157	1.032705	1.056744	0.98751	1.010201
0.7	1.0095115	1.0061525	1.014332	1.008726	1.05124	1.11695	0.980335	1.0056165	0.968119	1.036421	1.019118	0.98439	1.037906	0.976685	1.0075608
0.71	1.0077231	1.015476	0.9970544	1.000071686	1.096305	1.13361	0.9988961	0.988761	1.0070099	0.96177	1.021809	1.065354	1.031828	0.961591	1.042388
0.72	1.0052419	1.0010498	1.012492	1.0083897	0.97709	1.021101	1.044334	1.044938	0.9952669	1.0052956	1.067779	1.028078	1.0428	0.958826	1.02166
0.73	0.9911406	1.021924	0.9926795	0.99933767	1.032041	0.9945334	1.017246	1.0079299	1.02904	0.996068	1.054706	1.038764	1.064889	1.029665	1.025953
0.74	1.010045	1.020582	0.985816	1.0010236	1.032416	1.022039	0.978213	0.995843	1.028644	1.067393	1.072054	1.025167	1.048008	0.989885	0.986968
0.75	1.023792	0.987113	0.987271	0.9989752	0.9957037	1.088295	1.044834	1.008457	0.964645	1.050435	1.05279	1.077859	0.9973047	0.981388	1.029577
0.76	1.0046298	1.029255	0.9973026	1.0092043	1.038839	1.057544	0.979812	1.047235	0.98864	0.983482	1.096691	1.0025551	0.980402	1.021132	1.0069048
0.77	1.0059762	1.026889	0.977183	1.011949	1.05032	1.069239	1.055685	1.019474	0.98935	1.023129	1.016259	1.09244	1.040167	0.974561	1.0080833
0.78	0.9973691	1.015837	0.9979587	1.010153	1.058172	1.010316	1.0060416	1.081568	0.962252	1.043791	1.030696	1.069927	1.050545	1.065564	0.9945504
0.79	1.015651	0.99919216	1.035043	1.0027356	0.9904726	1.03617	0.989398	1.030401	0.97839	1.046674	1.06722	1.020447	1.048723	1.022219	1.0087478
0.8	1.018364	1.0085055	0.988594	1.0072351	1.035162	1.052097	1.061024	1.016148	1.021586	0.966542	1.025897	1.026562	1.058263	1.0069229	1.017874
0.81	1.028694	1.0057252	0.99912445	1.0022842	0.961419	1.013955	1.046532	1.038303	1.02835	1.023233	1.093245	1.027045	1.085331	1.023553	1.035551
0.82	0.987341	1.0082948	1.0009044	1.011066	1.05471	1.080022	1.025505	1.0059996	0.972641	1.055079	1.081223	0.976791	1.054695	1.0091268	0.9937168
0.83	0.9980047	1.003563	0.979829	1.0067312	1.047697	1.055925	1.051422	1.042662	1.0041391	1.043484	1.037075	1.0023115	1.044243	1.03552	1.0071503
0.84	1.024416	1.010805	0.980156	0.9931953	1.014046	1.050256	0.9909478	1.068579	1.025886	1.012169	0.962889	0.9988921	1.065474	0.986936	1.039384
0.85	1.0012386	1.00205	1.004146	1.0064529	1.028678	1.060997	1.012103	1.082708	0.9933095	1.0007717	1.077428	1.04146	1.051529	1.064776	1.0088365
0.86	1.022824	1.017062	0.99937742	1.0014789	1.0007863	1.05299	0.973164	1.050853	1.022853	1.031099	1.065023	0.9918535	1.054912	1.024936	1.0027266
0.87	1.0093233	0.991559	1.015191	0.9938046	1.021997	1.021373	0.982368	0.965248	1.050348	1.051543	0.9912893	1.13672	1.0091395	1.021194	1.033814
0.88	1.014639	1.0061345	1.017622	1.009228	1.057737	1.062174	0.9936096	1.040315	1.033771	1.083988	1.010056	1.11857	1.045786	1.0058513	1.038867
0.89	1.016867	0.9934001	1.026254	0.9968471	1.012083	1.027239	1.040032	1.040021	1.066677	1.040603	0.986729	1.11504	1.078881	1.01495	0.972498
0.9	1.012408	1.028175	1.025096	0.987817	1.013047	1.042739	1.03569	1.059518	1.020199	1.011034	1.031026	1.11974	1.029815	1.029475	0.9923807
