Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10
0.56	1.0112	0.9952698	1.054504	0.969144	0.9918707	0.99912964	1.010344	0.9920629	0.97523	0.963387
0.57	1.035209	0.9967263	0.9963067	0.977356	0.985531	0.9933504	1.046758	0.9976829	1.012961	0.9988538
0.58	0.9930827	0.9950935	0.9984387	1.0081823	1.018797	1.028601	1.027602	1.014216	1.028725	1.006594
0.59	0.9918213	0.9935493	1.0041537	0.980731	1.012719	1.026613	0.961334	0.961915	0.952954	1.029934
0.6	0.9985334	0.988398	1.001793	0.99839	0.987641	0.9952645	1.013733	1.00078085	0.9969781	1.043021
0.61	0.978417	0.9980922	0.914141	0.949777	1.0041771	0.9980182	0.9937943	0.9922918	0.948229	1.030451
0.62	1.0064795	0.991143	0.9961067	0.95037	0.993009	0.984841	1.0022928	1.0059258	0.986614	0.994084
0.63	0.979574	0.9977013	0.967579	0.963034	1.0092551	1.057199	1.01731	1.014497	0.965381	0.980269
0.64	0.986107	0.9964426	0.974405	0.960596	1.0074949	0.9940185	0.953646	1.022356	0.968792	1.014302
0.65	1.020221	0.9937813	0.972636	0.962184	1.0179	0.9919775	1.012372	0.954299	1.00409	0.988927
0.66	0.986313	0.9955002	0.98481	0.975994	0.986428	0.977714	1.030018	0.972116	1.0088837	1.045777
0.67	1.017707	0.9944978	1.022649	0.9973081	0.9948763	0.9948604	1.017833	0.9953714	1.0077329	1.040117
0.68	0.99971721	0.99975374	1.019891	0.989152	1.0068685	1.031211	1.030716	1.024399	1.01554	1.022253
0.69	1.0026206	0.99917636	0.9916988	0.963322	0.980695	1.00045653	1.011826	1.015112	0.9777	0.983716
0.7	0.987289	0.9918173	0.9956375	1.0035236	1.00023004	0.988701	1.040804	0.983653	1.0039828	1.042202
0.71	0.987962	0.99962764	1.0015758	0.969755	0.9900432	1.020214	0.9943978	0.9962277	0.989778	1.02677
0.72	1.031927	0.9943466	1.0023396	0.987431	1.0010459	1.017819	1.008854	1.0099357	1.031061	1.023569
0.73	0.99915335	0.9982822	0.9975817	0.974602	0.977251	0.96367	1.0021925	1.0058181	0.978349	1.039147
0.74	1.0082826	0.9950835	0.9923692	0.942988	0.976587	0.980031	1.00079914	0.978807	0.9969256	1.029092
0.75	1.0017295	0.9936594	0.987757	0.958053	1.0044314	0.9676	1.032156	1.012	1.0015242	1.033975
0.76	1.002973	1.0025188	1.026471	0.980943	0.97207	1.01193	0.9963097	0.9989026	1.047914	1.016269
0.77	1.010012	0.9923083	0.973334	0.976219	1.0022958	1.010823	0.983125	1.0064829	1.030695	1.004313
0.78	0.9998889	1.0013121	1.013929	1.0099948	0.970664	1.059199	1.024687	0.986311	0.9954222	1.014795
0.79	1.0055683	0.994216	0.978683	1.010653	1.0099608	1.023003	0.985706	0.9957542	0.977885	0.9983928
0.8	1.0037878	0.9974532	0.9967933	0.971569	0.984888	0.960947	0.973599	0.974715	0.949903	1.013529
0.81	1.0021431	0.9926034	0.982625	0.99934116	1.0045115	0.976703	0.971436	0.9989417	1.010955	1.026247
0.82	0.976423	1.00020676	0.9958421	0.960568	1.006811	1.0052695	1.0062943	0.957326	0.9914409	0.97433
0.83	1.01143	0.9985097	0.9914005	0.994727	1.023452	0.96559	1.01229	1.0039155	0.977057	0.9647
0.84	0.9948996	0.9916619	0.966661	0.982707	0.979286	1.013893	1.011029	1.04172	0.971226	0.9937133
0.85	0.989351	1.0048662	0.966894	0.959914	0.9988578	0.959084	0.976795	0.976849	0.9955738	0.975051
0.86	0.986044	1.0017214	0.983812	0.972758	1.0096762	1.032859	1.012397	0.988726	1.039957	0.972082
0.87	1.018665	0.9960493	1.013824	0.982233	0.9969942	0.988915	1.021448	0.989242	1.05112	1.0034301
0.88	1.014022	0.994799	0.9931782	1.024179	1.016804	1.028354	1.044551	1.0032307	0.986036	1.0059223
0.89	0.984536	0.9960431	0.979972	0.984475	1.0082081	0.9937206	1.047232	1.010459	0.969701	0.960333
0.9	0.9954551	0.9955752	1.015737	0.985439	1.0048218	0.98833	0.99931298	1.028017	0.9933647	1.01693
0.91	1.20048	0.994747	1.16313	0.951447	1.053993	1.40277	1.064508	1.00033982	1.030124	1.47735
