Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
0.36	0.999921573	1.028683	1.012489	1.027039	1.030942	0.986187	1.10693	0.9935246	0.996297	1.012596	1.018283	1.0082065	1.015542	0.9964472	1.0060587	0.953628
0.37	1.037993	1.0029435	1.016082	1.0059626	1.0041974	1.011364	1.071102	1.01566	1.030733	1.077221	1.050727	1.01878	1.02278	1.039138	1.078092	1.030663
0.38	1.026925	1.0014146	1.044605	1.032145	1.03104	1.026096	1.07324	0.971869	0.989548	1.020723	1.011081	1.019291	1.013299	1.030979	0.933034	1.051505
0.39	1.022374	1.038298	1.012337	1.06872	1.02486	0.9966785	0.99957711	1.0095152	1.0074829	0.966272	1.02978	1.06093	0.973116	0.963149	0.963146	1.061331
0.4	1.036709	1.010019	1.048121	1.051888	1.0060892	1.041531	1.049788	0.982409	1.0044679	1.048636	1.069133	1.0063551	1.030819	1.01891	0.99988449	1.081962
0.41	1.0022096	1.023035	1.066949	0.95213	1.076415	1.021076	0.9910818	1.001806	1.040652	1.048891	1.016145	0.9921081	1.025532	1.0054959	1.034635	1.0018542
0.42	1.024448	1.041513	1.02979	0.984033	1.015599	0.938985	0.9934424	1.028847	0.97065	0.9982092	1.052783	1.018743	0.9908552	1.080281	1.064946	1.035393
0.43	0.9939546	1.036131	1.048863	1.036367	1.073942	1.045152	1.0423	0.980249	1.024563	1.025932	1.017668	0.984806	0.980941	1.025108	1.065857	1.13139
0.44	0.9940285	1.014072	1.022964	0.99900372	1.029343	0.998545	0.9945865	0.977787	0.976874	0.972186	0.940994	0.966638	1.020645	0.99980418	1.018429	0.960525
0.45	0.978553	1.024035	1.022062	0.9976349	1.025724	1.013052	1.01289	1.0024796	1.050842	1.025213	0.987205	1.040655	1.052269	1.031361	1.053896	1.046976
0.46	1.024253	1.018168	1.013565	1.027276	1.0018451	0.987984	0.981744	0.961292	1.0042954	1.027734	1.067035	0.969412	1.039726	1.048773	1.05262	0.973892
0.47	1.0066132	1.0055721	1.046787	1.024221	1.0062693	0.982799	1.067419	0.9940452	1.0052561	1.044705	0.971967	1.033666	1.030336	1.0086622	1.017152	1.0083151
