Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9			
1.54	1.11984	1.01387	1.15458	0.901941	1.054587	1.10167	1.048022	1.006229	0.974532			
1.55	1.099915	1.036283	1.15952	0.89198	1.030178	1.069648	1.09669	1.060024	0.978387			
1.56	1.074714	1.01727	1.10973	0.95372	1.00095902	0.9933205	0.983715	0.9995318	0.9902422			
1.57	1.064796	0.9912648	1.081858	0.945597	1.058117	1.4959	1.022601	0.927363	0.949779			
1.58	1.04685	1.0056982	1.022001	0.906203	1.025281	1.47417	0.946064	0.985191	0.965657			
1.59	1.02666	0.9956627	1.14464	0.94345	1.024871	1.36066	1.037241	1.014046	0.99942779			
1.6	1.04334	0.967339	1.11439	0.917008	0.9900414	1.22287	0.9924209	0.9903155	0.957687			
1.61	1.010221	0.97139	1.10279	0.92623	1.02934	1.25521	0.991103	1.026308	1.028109			
1.62	0.989869	1.015941	1.079319	0.930984	0.964778	1.26561	1.04667	1.020913	1.018025			
1.63	1.0089348	0.9942282	1.058277	0.978014	1.043252	1.19062	1.11931	0.934897	0.953237			
1.64	0.975785	1.0061882	1.067597	0.934223	1.011016	1.082412	1.09947	0.989868	0.89241			
1.65	0.986819	0.988799	1.034411	0.938464	0.968631	1.010423	1.036443	1.0088497	0.973442			
1.66	0.948109	0.981015	0.9935663	1.0021195	1.00054516	1.094192	1.085844	0.9976696	0.928672			
1.67	1.0075334	1.021487	1.025481	1.02867	1.026009	1.14555	1.1521	0.958184	0.910378			
1.68	0.981473	1.031968	0.962973	0.9927469	0.960824	1.094351	1.10687	0.931837	0.945038			
1.69	0.958728	0.9944945	1.0028206	0.95596	1.033077	1.10527	1.045257	0.96271	0.931307			
1.7	1.0025215	1.006804	0.997553	0.9970078	0.9905506	1.079452	0.989288	0.973793	0.902371			
1.71	0.956138	0.9971176	1.0040754	0.960584	1.020489	1.086807	1.0052473	0.983461	0.97187			
1.72	0.981089	0.98131	1.029605	0.964438	0.98663	1.059714	1.013118	0.944965	0.87235			
1.73	0.926061	0.981296	0.9916242	0.986052	0.963986	1.018249	1.04016	1.045285	0.9978986			
1.74	0.99212	1.020786	1.089108	0.983054	0.9965821	1.083701	1.027529	0.963828	0.91556			
1.75	1.03386	0.9947869	1.15878	0.989582	1.038107	1.037625	1.025947	0.953074	0.959194			
1.76	0.970381	0.989702	1.12554	0.953236	1.013353	1.081486	1.012434	0.998816	0.949182			
1.77	0.984322	0.9948739	1.10109	0.903621	0.966157	0.972216	1.0037918	0.954943	0.915044			
1.78	0.959668	1.0053141	1.041558	0.914488	0.979387	1.021143	1.0070298	1.0091508	0.89857			
1.79	0.9910151	1.010513	1.074213	0.984481	1.017735	1.044086	0.981639	0.99913678	0.94227			
1.8	0.986078	0.987623	1.072526	0.926589	1.031382	1.029348	1.01315	1.022585	0.957661			
1.81	1.033737	0.9936056	1.013297	0.930207	1.008959	1.079925	1.0422	0.982408	0.97228			
1.82	1.037911	1.06487	1.14135	0.974619	0.990897	1.017383	1.073841	1.013517	0.984983			
1.83	1.031246	1.046213	1.036458	0.954431	0.984499	1.017008	1.042986	0.97915	1.0554			
1.84	1.01294	1.046445	1.10493	0.982186	0.988904	1.014266	0.997457	1.011523	1.020219			
1.85	1.020139	1.049652	1.17446	1.057178	1.037687	1.012234	0.9936771	0.96526	0.959537			
1.86	1.062037	1.087037	1.056228	1.053493	0.968847	1.044677	1.0047728	1.027886	0.949622			
1.87	1.068463	1.065374	1.091662	1.018113	1.018108	1.030827	0.979201	1.019649	1.00010139			
1.88	1.12524	1.088928	1.070304	1.008333	0.981923	1.087504	1.010436	1.016174	0.982391			
1.89	1.14535	1.10936	1.042101	1.050754	1.043916	1.0070783	1.0085801	0.954981	1.076433			
1.9	1.24914	1.095286	1.037087	0.952565	1.040981	1.0904	0.9933606	1.0017316	1.13164			
1.91	1.20072	1.076945	1.053989	1.060736	1.0077567	0.980661	1.035322	0.966488	1.13082			
1.92	1.1477	1.077637	1.14231	1.13397	1.02557	1.063954	1.040874	0.978532	1.0091463			
1.93	1.12114	1.059296	1.11313	1.045164	1.089835	1.036438	1.042775	1.018251	1.084028			
1.94	1.11972	1.023062	1.094414	1.032473	1.018544	1.087453	1.0045251	0.951772	1.064616			
1.95	1.11514	1.05335	1.074477	1.08375	1.076106	1.045869	1.048868	0.983924	1.032684			
1.96	1.11618	1.046945	1.058039	1.09709	1.069756	1.019732	1.061113	0.967587	1.090201			
1.97	1.11577	1.071022	1.0436	1.051322	1.03833	1.065534	0.959239	0.956134	1.172			
1.98	1.11106	1.068749	1.084239	1.045692	1.022852	0.985887	1.0015955	0.978347	1.09475			
1.99	1.10607	1.037332	1.042833	1.0039278	1.010161	1.031344	0.948068	1.035634	1.043431			
2	1.060244	1.039736	1.047591	1.033603	1.0031369	1.069679	0.9912134	0.922424	1.097417			
2.01	1.058764	1.023313	1.015775	1.10403	0.975961	1.028785	1.02841	1.020019	1.13956			
2.02	1.044013	1.069184	1.028623	1.10755	1.031456	1.095526	0.974424	0.9982582	1.048893			
2.03	1.12426	1.072776	1.13189	1.014726	1.014028	1.28956	1.025436	1.056104	1.036612			
