roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI62,268.57142857142856,3.6666666666666665
ROI63,234.95833333333334,4.166666666666667
ROI64,214.7037037037037,4.666666666666667
ROI65,352.1875,2.8333333333333335
ROI66,201.5,4.833333333333333
ROI67,216.76923076923077,4.5
ROI68,281.7,3.5
ROI69,271.1875,2.8333333333333335
ROI70,282.55,3.5
ROI71,268.4761904761905,3.6666666666666665
ROI72,281.15,3.5
ROI73,217.34615384615384,4.5
ROI74,268.4761904761905,3.6666666666666665
ROI75,474.8181818181818,2.0
ROI76,149.07894736842104,6.5
ROI77,256.27272727272725,3.8333333333333335
ROI78,244.91304347826087,4.0
ROI79,481.5,1.1666666666666667
ROI80,166.58823529411765,5.833333333333333
ROI81,268.6666666666667,3.6666666666666665
ROI82,331.29411764705884,3.0
ROI83,267.8095238095238,3.6666666666666665
ROI84,256.5,3.8333333333333335
ROI85,245.52173913043478,4.0
ROI86,245.56521739130434,4.0
ROI87,278.70588235294116,3.0
ROI88,128.04545454545453,7.5
ROI89,297.05263157894734,3.3333333333333335
ROI90,200.89285714285714,4.833333333333333
ROI91,205.34615384615384,4.5
ROI92,256.40909090909093,3.8333333333333335
ROI93,176.4375,5.5
ROI94,268.7142857142857,3.6666666666666665
ROI95,312.5,3.1666666666666665
ROI96,267.8095238095238,3.6666666666666665
ROI97,194.72413793103448,5.0
ROI98,268.2857142857143,3.6666666666666665
ROI99,256.54545454545456,3.8333333333333335
ROI100,134.5952380952381,7.166666666666667
ROI101,515.5454545454545,2.0
ROI102,268.8095238095238,3.6666666666666665
ROI103,256.72727272727275,3.8333333333333335
ROI104,306.52941176470586,3.0
ROI105,143.26829268292684,7.0
ROI106,313.22222222222223,3.1666666666666665
ROI107,281.9,3.5
ROI108,245.30434782608697,4.0
ROI109,171.15151515151516,5.666666666666667
ROI110,325.6875,2.8333333333333335
ROI111,312.8888888888889,3.1666666666666665
ROI112,234.83333333333334,4.166666666666667
ROI113,245.47826086956522,4.0
ROI114,338.75,2.8333333333333335
ROI115,520.9,1.8333333333333333
ROI116,269.14285714285717,3.6666666666666665
ROI117,208.33333333333334,4.666666666666667
ROI118,282.35,3.5
ROI119,268.42857142857144,3.6666666666666665
ROI120,217.26923076923077,4.5
ROI121,301.6111111111111,3.1666666666666665
ROI122,256.27272727272725,3.8333333333333335
ROI123,1032.5,0.8333333333333334
ROI124,208.33333333333334,4.666666666666667
ROI125,403.7692307692308,2.3333333333333335
ROI126,361.6,2.6666666666666665
ROI127,268.4761904761905,3.6666666666666665
ROI128,372.42857142857144,2.5
ROI129,297.2105263157895,3.3333333333333335
ROI130,216.80769230769232,4.5
ROI131,313.44444444444446,3.1666666666666665
ROI132,432.84615384615387,2.3333333333333335
ROI133,165.44117647058823,5.833333333333333
ROI134,245.34782608695653,4.0
ROI135,139.07692307692307,6.666666666666667
ROI136,281.75,3.5
ROI137,282.3,3.5
ROI138,245.08695652173913,4.0
ROI139,289.8235294117647,3.0
ROI140,313.3888888888889,3.1666666666666665
ROI141,268.7142857142857,3.6666666666666665
ROI142,217.57692307692307,4.5
ROI143,297.36842105263156,3.3333333333333335
ROI144,495.90909090909093,2.0
ROI145,256.22727272727275,3.8333333333333335
ROI146,267.7142857142857,3.6666666666666665
ROI147,208.77777777777777,4.666666666666667
ROI148,225.6,4.333333333333333
ROI149,320.47058823529414,3.0
ROI150,306.88235294117646,3.0
ROI151,234.54166666666666,4.166666666666667
ROI152,361.2,2.6666666666666665
ROI153,246.27272727272728,3.8333333333333335
ROI154,256.95454545454544,3.8333333333333335
ROI155,256.09090909090907,3.8333333333333335
ROI156,331.7647058823529,3.0
ROI157,272.5,3.5
ROI158,282.35,3.5
ROI159,281.25,3.5
ROI160,245.17391304347825,4.0
ROI161,268.4761904761905,3.6666666666666665
ROI162,313.27777777777777,3.1666666666666665
ROI163,256.22727272727275,3.8333333333333335
ROI164,348.0,2.6666666666666665
ROI165,182.5483870967742,5.333333333333333
ROI166,307.2352941176471,3.0
ROI167,217.03846153846155,4.5
ROI168,281.45,3.5
ROI169,224.92,4.333333333333333
ROI170,,0.16666666666666666
ROI171,301.6111111111111,3.1666666666666665
ROI172,402.7142857142857,2.5
ROI173,306.7647058823529,3.0
ROI174,512.6363636363636,2.0
ROI175,268.14285714285717,3.6666666666666665
ROI176,235.29166666666666,4.166666666666667
ROI177,473.0,2.0
ROI178,271.15,3.5
ROI179,313.44444444444446,3.1666666666666665
ROI180,225.83333333333334,4.166666666666667
ROI181,194.44827586206895,5.0
ROI182,603.6666666666666,1.6666666666666667
ROI183,281.7,3.5
ROI184,351.25,2.8333333333333335
ROI185,234.33333333333334,4.166666666666667
ROI186,288.77777777777777,3.1666666666666665
ROI187,156.71428571428572,3.6666666666666665
ROI188,400.84615384615387,2.3333333333333335
ROI189,234.83333333333334,4.166666666666667
ROI190,234.20833333333334,4.166666666666667
ROI191,256.04545454545456,3.8333333333333335
ROI192,260.8,3.5
ROI193,297.10526315789474,3.3333333333333335
ROI194,297.05263157894734,3.3333333333333335
ROI195,245.7826086956522,4.0
ROI196,474.72727272727275,2.0
ROI197,282.45,3.5
ROI198,208.8148148148148,4.666666666666667
ROI199,187.9,5.166666666666667
ROI200,256.45454545454544,3.8333333333333335
ROI201,313.27777777777777,3.1666666666666665
ROI202,306.4117647058824,3.0
ROI203,289.22222222222223,3.1666666666666665
ROI204,281.15,3.5
ROI205,216.30769230769232,4.5
ROI206,562.3,1.8333333333333333
ROI207,296.7368421052632,3.3333333333333335
ROI208,282.3,3.5
ROI209,326.1875,2.8333333333333335
ROI210,269.0,3.6666666666666665
ROI211,282.0,3.5
ROI212,313.22222222222223,3.1666666666666665
ROI213,319.7647058823529,3.0
ROI214,285.36842105263156,3.3333333333333335
ROI215,580.0,1.6666666666666667
ROI216,295.89473684210526,3.3333333333333335
ROI217,296.05263157894734,3.3333333333333335
ROI218,401.2307692307692,2.3333333333333335
ROI219,245.43478260869566,4.0
ROI220,258.04761904761904,3.6666666666666665
ROI221,331.88235294117646,3.0
ROI222,331.4117647058824,3.0
ROI223,297.42105263157896,3.3333333333333335
ROI224,281.55,3.5
ROI225,603.5555555555555,1.6666666666666667
ROI226,256.6818181818182,3.8333333333333335
ROI227,435.3333333333333,2.1666666666666665
ROI228,319.3076923076923,2.3333333333333335
ROI229,268.9047619047619,3.6666666666666665
ROI230,375.93333333333334,2.6666666666666665
ROI231,269.14285714285717,3.6666666666666665
ROI232,217.0,4.333333333333333
ROI233,282.0,3.5
ROI234,268.9047619047619,3.6666666666666665
ROI235,312.6666666666667,3.1666666666666665
ROI236,297.1578947368421,3.3333333333333335
ROI237,274.6666666666667,2.1666666666666665
ROI238,433.61538461538464,2.3333333333333335
ROI239,433.8,1.0
ROI240,433.38461538461536,2.3333333333333335
ROI241,,0.16666666666666666
ROI242,437.0833333333333,2.1666666666666665
ROI243,402.7142857142857,2.5
ROI244,289.2352941176471,3.0
ROI245,330.7647058823529,3.0
ROI246,469.8333333333333,2.1666666666666665
ROI247,296.7368421052632,3.3333333333333335
ROI248,318.70588235294116,3.0
ROI249,,0.16666666666666666
ROI250,296.3157894736842,3.3333333333333335
ROI251,248.47619047619048,3.6666666666666665
ROI252,301.1111111111111,3.1666666666666665
ROI253,306.52941176470586,3.0
ROI254,402.2142857142857,2.5
ROI255,923.5,0.8333333333333334
ROI256,270.85,3.5
ROI257,285.1578947368421,3.3333333333333335
ROI258,331.70588235294116,3.0
ROI259,464.0,0.3333333333333333
ROI260,376.26666666666665,2.6666666666666665
ROI261,557.3,1.8333333333333333
ROI262,271.15,3.5
ROI263,1229.0,0.8333333333333334
ROI264,564.0,1.8333333333333333
ROI265,325.75,2.8333333333333335
ROI266,296.89473684210526,3.3333333333333335
ROI267,347.4,2.6666666666666665
ROI268,313.3333333333333,3.1666666666666665
