roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,181.96774193548387,5.333333333333333
ROI2,245.2608695652174,4.0
ROI3,187.5,5.166666666666667
ROI4,235.08333333333334,4.166666666666667
ROI5,225.84,4.333333333333333
ROI6,216.84615384615384,4.5
ROI7,245.08695652173913,4.0
ROI8,182.03225806451613,5.333333333333333
ROI9,201.89285714285714,4.833333333333333
ROI10,216.80769230769232,4.5
ROI11,216.96153846153845,4.5
ROI12,245.17391304347825,4.0
ROI13,221.3125,2.8333333333333335
ROI14,234.91666666666666,4.166666666666667
ROI15,256.1818181818182,3.8333333333333335
ROI16,197.9655172413793,5.0
ROI17,244.34782608695653,4.0
ROI18,225.84,4.333333333333333
ROI19,141.575,6.833333333333333
ROI20,270.95,3.5
ROI21,217.1153846153846,4.5
ROI22,144.2941176470588,3.0
ROI23,201.5,4.833333333333333
ROI24,216.19230769230768,4.5
ROI25,208.96296296296296,4.666666666666667
ROI26,347.73333333333335,2.6666666666666665
ROI27,235.0,4.166666666666667
ROI28,229.52941176470588,3.0
ROI29,201.82142857142858,4.833333333333333
ROI30,282.75,3.5
ROI31,207.64705882352942,3.0
ROI32,165.97058823529412,5.833333333333333
ROI33,244.91304347826087,4.0
ROI34,255.95454545454547,3.8333333333333335
ROI35,226.24,4.333333333333333
ROI36,289.5,3.1666666666666665
ROI37,165.73529411764707,5.833333333333333
ROI38,306.6470588235294,3.0
ROI39,234.875,4.166666666666667
ROI40,312.77777777777777,3.1666666666666665
ROI41,216.84615384615384,4.5
ROI42,352.0,2.5
ROI43,161.22857142857143,6.0
ROI44,225.84,4.333333333333333
ROI45,326.5625,2.8333333333333335
ROI46,372.7142857142857,2.5
ROI47,181.83870967741936,5.333333333333333
ROI48,282.2,3.5
ROI49,434.8333333333333,2.1666666666666665
ROI50,170.42424242424244,5.666666666666667
ROI51,234.1904761904762,3.6666666666666665
ROI52,245.17391304347825,4.0
ROI53,331.70588235294116,3.0
ROI54,282.05,3.5
ROI55,98.41379310344827,9.833333333333334
ROI56,234.16666666666666,4.166666666666667
ROI57,235.41666666666666,4.166666666666667
ROI58,306.47058823529414,3.0
ROI59,301.55555555555554,3.1666666666666665
ROI60,217.03846153846155,4.5
ROI61,166.08823529411765,5.833333333333333
