roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,189,1.52884,0.5048441666666668
ROI1,409,1.6386,0.6146041666666668
ROI1,620,1.53077,0.5067741666666667
ROI1,908,1.74834,0.7243441666666668
ROI1,1112,1.59097,0.5669741666666668
ROI1,1497,1.56324,0.5392441666666667
ROI1,1685,1.29573,0.27173416666666683
ROI1,1754,1.39593,0.3719341666666667
ROI1,1884,1.33038,0.3063841666666667
ROI1,1943,1.40228,0.37828416666666675
ROI1,2108,1.34583,0.32183416666666687
ROI1,2291,1.74829,0.7242941666666667
ROI1,2551,1.54041,0.5164141666666668
ROI1,2757,1.61114,0.5871441666666668
ROI1,2895,1.35321,0.3292141666666668
ROI1,3023,1.65351,0.6295141666666668
ROI1,3234,1.47241,0.4484141666666668
ROI1,3517,1.699,0.6750041666666668
ROI1,3736,1.65107,0.6270741666666668
ROI1,3983,1.86065,0.8366541666666667
ROI1,4208,1.61471,0.5907141666666669
ROI1,4317,1.39011,0.36611416666666674
ROI1,4407,1.24518,0.22118416666666674
ROI1,4569,1.38433,0.36033416666666684
ROI1,4648,1.49873,0.4747341666666667
ROI1,4866,1.37974,0.35574416666666675
ROI1,4930,1.71705,0.6930541666666667
ROI1,5298,1.82586,0.8018641666666668
ROI1,5379,1.47226,0.4482641666666667
ROI1,5555,1.59084,0.5668441666666668
ROI1,5612,1.3239,0.29990416666666686
ROI1,5830,1.75943,0.7354341666666668
ROI2,190,1.39054,0.370570816666667
ROI2,409,1.28159,0.2616208166666669
ROI2,628,1.39742,0.377450816666667
ROI2,910,1.60563,0.5856608166666668
ROI2,1112,1.30792,0.2879508166666669
ROI2,1494,1.51502,0.49505081666666695
ROI2,1683,1.30377,0.283800816666667
ROI2,1946,1.48623,0.46626081666666686
ROI2,2295,1.31085,0.290880816666667
ROI2,2553,1.39124,0.37127081666666695
ROI2,2761,1.47361,0.453640816666667
ROI2,2903,1.2295,0.20953081666666695
ROI2,3023,1.54601,0.526040816666667
ROI2,3239,1.37478,0.3548108166666668
ROI2,3519,1.45424,0.4342708166666669
ROI2,3737,1.46664,0.44667081666666686
ROI2,3983,1.60549,0.585520816666667
ROI2,4208,1.54488,0.524910816666667
ROI2,4404,1.19742,0.17745081666666684
ROI2,4647,1.42703,0.40706081666666694
ROI2,4930,1.51976,0.4997908166666669
ROI2,5296,1.51845,0.498480816666667
ROI2,5555,1.24896,0.22899081666666699
ROI2,5831,1.49109,0.47112081666666694
ROI3,210,1.12169,0.11042863333333353
ROI3,407,1.15212,0.14085863333333348
ROI3,632,1.17964,0.16837863333333347
ROI3,928,1.20414,0.19287863333333344
