roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI14,13419,1.86903,0.8248452333333334
ROI14,14109,1.59237,0.5481852333333335
ROI14,14841,1.26013,0.21594523333333338
ROI15,2653,1.73203,0.6881972300000001
ROI15,4934,1.76407,0.7202372300000002
ROI15,6814,1.74241,0.6985772300000002
ROI15,9452,1.19456,0.1507272300000002
ROI15,13431,1.84836,0.8045272300000001
ROI15,14113,1.13677,0.0929372300000002
ROI15,16115,1.35086,0.3070272300000001
ROI16,2648,1.77371,0.7276012866666666
ROI16,4930,1.6847,0.6385912866666668
ROI16,6806,1.56515,0.5190412866666667
ROI16,9454,1.54476,0.4986512866666666
ROI16,13426,1.64033,0.5942212866666667
ROI16,14109,1.19478,0.14867128666666662
ROI17,2652,1.62351,0.5779062423333334
ROI17,4934,1.5624,0.5167962423333334
ROI17,6814,1.43342,0.38781624233333334
ROI17,9453,1.27711,0.2315062423333334
ROI17,13432,1.70942,0.6638162423333334
ROI18,2650,1.64872,0.6080152999999999
ROI18,4931,1.67163,0.6309252999999999
ROI18,6810,1.77401,0.7333053
ROI18,7557,1.22476,0.18405530000000003
ROI18,9454,1.22952,0.1888152999999999
ROI18,13429,1.88022,0.8395153
ROI18,14111,1.20276,0.1620553
ROI19,2659,1.35608,0.32885268366666676
ROI19,4936,1.4737,0.4464726836666668
ROI19,6817,1.53735,0.5101226836666668
ROI19,7552,1.23422,0.2069926836666669
ROI19,9455,1.28914,0.26191268366666676
ROI19,10405,1.15153,0.12430268366666675
ROI19,13434,1.68502,0.6577926836666668
ROI19,14110,1.16146,0.13423268366666674
ROI20,2650,1.69613,0.6527976119999999
ROI20,4932,1.68579,0.6424576119999998
ROI20,6814,1.52901,0.4856776119999999
ROI20,9454,1.32717,0.2838376119999999
ROI20,13429,1.79791,0.7545776119999998
ROI21,2649,1.79243,0.7470713666666668
ROI21,4933,1.79387,0.748511366666667
ROI21,6811,1.74184,0.6964813666666669
ROI21,9454,1.15503,0.10967136666666688
ROI21,13428,1.84594,0.8005813666666668
ROI21,14116,1.14531,0.09995136666666693
ROI21,15421,1.23866,0.19330136666666697
ROI22,2651,1.65265,0.6091601999999998
ROI22,3192,1.20326,0.15977019999999986
ROI22,4187,1.23895,0.19546019999999986
ROI22,4934,1.65861,0.6151201999999998
ROI22,5537,1.25916,0.21567019999999992
ROI22,6810,1.51535,0.47186019999999984
ROI22,7553,1.31118,0.2676901999999999
ROI22,9436,1.31263,0.26914019999999983
ROI22,9912,1.24315,0.19966019999999984
ROI22,10483,1.21113,0.1676401999999999
ROI22,13433,1.77221,0.7287201999999999
ROI22,14108,1.26393,0.22044019999999986
ROI22,15422,1.38007,0.3365801999999998
ROI23,2652,1.63377,0.590286549
ROI23,4933,1.73307,0.6895865490000002
ROI23,6814,1.70252,0.6590365490000001
ROI23,9444,1.2521,0.20861654900000004
ROI23,13429,1.90731,0.8638265490000001
ROI23,14110,1.2083,0.16481654899999998
ROI24,2652,1.63245,0.5858171000000001
ROI24,4934,1.58422,0.5375871000000001
ROI24,6810,1.55231,0.5056771000000002
ROI24,9452,1.14615,0.09951710000000014
ROI24,13431,1.59606,0.5494271000000002
ROI25,2658,1.32613,0.2965083863333333
ROI25,4936,1.41953,0.38990838633333325
ROI25,6086,1.14453,0.11490838633333333
ROI25,6817,1.49068,0.4610583863333333
ROI25,9454,1.39139,0.3617683863333332
ROI25,13433,1.60715,0.5775283863333334
ROI26,2649,1.53404,0.49283850666666673
ROI26,4930,1.66392,0.6227185066666667
ROI26,6811,1.66973,0.6285285066666666
ROI26,9454,1.57988,0.5386785066666666
ROI26,13426,1.91217,0.8709685066666666
ROI27,2652,1.8003,0.7481577000000001
ROI27,4934,1.68791,0.6357677000000002
ROI27,6816,1.57323,0.5210877
ROI27,9454,1.21243,0.16028770000000003
ROI27,13432,1.80073,0.7485877000000001
ROI28,2652,1.50995,0.4698687799999999
ROI28,4931,1.44923,0.40914878
ROI28,6815,1.50047,0.46038877999999994
ROI28,9454,1.1821,0.1420187799999999
ROI28,13430,1.56044,0.52035878
ROI29,2649,1.42598,0.3904570900000002
ROI29,4934,1.53581,0.50028709
ROI29,6816,1.55381,0.5182870900000001
ROI29,9454,1.32037,0.2848470900000002
ROI29,13433,1.70865,0.6731270900000002
ROI29,14114,1.14664,0.11111709000000025
ROI29,16116,1.17936,0.1438370900000001
ROI30,2651,1.65991,0.6169782966666668
ROI30,4934,1.6976,0.6546682966666668
ROI30,6812,1.64823,0.6052982966666669
ROI30,9449,1.23928,0.19634829666666676
ROI30,13429,1.7704,0.7274682966666668
ROI30,14110,1.19021,0.1472782966666668
ROI31,2654,1.63284,0.5914391400000001
ROI31,4934,1.6136,0.5721991399999999
ROI31,6815,1.53008,0.4886791400000001
ROI31,9449,1.13929,0.09788913999999993
ROI31,13433,1.66864,0.6272391399999999
ROI31,14110,1.17034,0.12893913999999995
ROI31,15422,1.2491,0.20769914000000012
ROI32,1172,1.22865,0.18693616000000013
ROI32,2652,1.58993,0.5482161600000002
ROI32,2899,1.20883,0.16711616000000018
ROI32,4042,1.20364,0.16192616000000015
ROI32,4932,1.65912,0.61740616
ROI32,6814,1.55093,0.50921616
ROI32,9454,1.33214,0.2904261600000002
ROI32,9638,1.27089,0.22917616000000018
ROI32,13430,1.87359,0.8318761600000002
ROI33,2655,1.65138,0.6069254666666666
ROI33,4934,1.49114,0.4466854666666664
ROI33,6812,1.44679,0.40233546666666653
ROI33,9448,1.19404,0.1495854666666665
ROI33,13433,1.54595,0.5014954666666664
ROI33,14110,1.19457,0.15011546666666642
ROI34,2651,1.86792,0.8212516666666667
ROI34,4931,1.87927,0.8326016666666667
ROI34,6809,1.54502,0.49835166666666675
ROI34,9454,1.36083,0.3141616666666667
ROI34,13429,1.89666,0.8499916666666667
ROI34,14104,1.25882,0.21215166666666674
ROI35,2651,1.72467,0.6805879883333332
ROI35,4190,1.29085,0.24676798833333335
ROI35,4934,1.71075,0.6666679883333333
ROI35,5540,1.24438,0.20029798833333334
ROI35,6810,1.67296,0.6288779883333333
ROI35,7553,1.14584,0.10175798833333327
ROI35,9455,1.20892,0.1648379883333333
ROI35,13432,1.72865,0.6845679883333333
ROI35,14106,1.1566,0.11251798833333337
ROI35,15422,1.34822,0.3041379883333333
ROI36,2651,1.56683,0.5259795606666666
ROI36,4934,1.60715,0.5662995606666668
ROI36,6815,1.51344,0.4725895606666666
ROI36,7556,1.14024,0.0993895606666666
ROI36,9454,1.26833,0.22747956066666664
ROI36,9601,1.68409,0.6432395606666668
ROI36,13432,1.60186,0.5610095606666667
ROI36,14114,1.15042,0.10956956066666668
ROI36,15422,1.22923,0.18837956066666672
ROI37,2650,1.78138,0.7373820366666668
ROI37,4931,1.79993,0.7559320366666669
ROI37,6811,1.61215,0.5681520366666668
