roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,1637.7142857142858,0.48828125
ROI2,1476.4444444444443,0.6103515625
ROI3,1597.5,0.54931640625
ROI4,1674.7142857142858,0.48828125
ROI5,1683.125,0.54931640625
ROI6,1431.625,0.54931640625
ROI7,1595.625,0.54931640625
ROI8,2693.25,0.30517578125
ROI9,2695.25,0.30517578125
ROI10,840.875,1.03759765625
ROI11,1910.1666666666667,0.42724609375
ROI12,1660.625,0.54931640625
ROI13,2695.0,0.30517578125
ROI14,766.1666666666666,1.15966796875
ROI15,2243.6666666666665,0.42724609375
ROI16,2292.2,0.3662109375
ROI17,2695.0,0.30517578125
ROI18,1910.1666666666667,0.42724609375
ROI19,1635.857142857143,0.48828125
ROI20,2694.75,0.30517578125
ROI21,2128.6666666666665,0.42724609375
ROI22,1064.25,0.79345703125
ROI23,2291.6,0.3662109375
ROI24,2694.75,0.30517578125
ROI25,2155.0,0.3662109375
ROI26,2694.25,0.30517578125
ROI27,2695.0,0.30517578125
ROI28,2694.5,0.30517578125
ROI29,2244.5,0.42724609375
ROI30,2291.8,0.3662109375
ROI31,2128.0,0.42724609375
ROI32,1532.25,0.54931640625
ROI33,2291.0,0.3662109375
ROI34,2290.6,0.3662109375
ROI35,1419.0,0.6103515625
ROI36,1596.375,0.54931640625
ROI37,2290.8,0.3662109375
ROI38,1341.3636363636363,0.732421875
ROI39,1908.3333333333333,0.42724609375
ROI40,2293.25,0.30517578125
ROI41,1910.0,0.42724609375
ROI42,2694.25,0.30517578125
ROI43,1908.1666666666667,0.42724609375
ROI44,1909.8333333333333,0.42724609375
ROI45,2204.0,0.244140625
ROI46,1870.5714285714287,0.48828125
ROI47,2694.75,0.30517578125
ROI48,2219.6666666666665,0.244140625
ROI49,1909.3333333333333,0.42724609375
ROI50,2097.4,0.3662109375
ROI51,2326.5,0.18310546875
ROI52,761.4615384615385,0.8544921875
ROI53,955.5833333333334,0.79345703125
ROI54,3593.0,0.244140625
ROI55,1310.5,0.67138671875
ROI56,2234.2,0.3662109375
ROI57,2293.4,0.3662109375
ROI58,3592.0,0.244140625
ROI59,1522.75,0.54931640625
ROI60,1598.125,0.54931640625
ROI61,2692.2,0.3662109375
ROI62,3592.6666666666665,0.244140625
ROI63,819.0714285714286,0.91552734375
ROI64,545.1153846153846,1.64794921875
ROI65,2156.0,0.3662109375
ROI66,1910.8333333333333,0.42724609375
ROI67,3726.6666666666665,0.244140625
ROI68,2292.4,0.3662109375
ROI69,2694.75,0.30517578125
ROI70,3593.0,0.244140625
ROI71,1833.8,0.3662109375
