roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,564,2.248,1.205641966666667
ROI1,1893,2.3034,1.2610419666666666
ROI1,2105,1.68508,0.6427219666666666
ROI1,3241,2.2766,1.2342419666666669
ROI1,5552,2.4671,1.4247419666666665
ROI2,564,2.2592,1.2144665399999999
ROI2,1892,2.2878,1.2430665399999998
ROI2,3114,1.2552,0.2104665400000001
ROI2,3240,2.2586,1.21386654
ROI2,5551,2.3835,1.3387665400000002
ROI3,562,1.82154,0.7967134833333331
ROI3,1888,1.87816,0.8533334833333333
ROI3,3238,1.8846,0.8597734833333333
ROI3,5549,1.96574,0.9409134833333332
ROI4,567,1.67377,0.6490307366666668
ROI4,1895,1.71502,0.6902807366666668
ROI4,3245,1.74967,0.7249307366666669
ROI4,3603,1.19971,0.17497073666666685
ROI4,5554,1.86805,0.8433107366666668
ROI5,564,1.82287,0.7995021733333334
ROI5,1893,1.87627,0.8529021733333335
ROI5,3239,1.90977,0.8864021733333334
ROI5,3603,1.23189,0.20852217333333334
ROI5,5550,1.9017,0.8783321733333334
ROI6,565,2.2168,1.1762072733333333
ROI6,1892,2.2275,1.1869072733333332
ROI6,3242,2.2551,1.2145072733333333
ROI6,3602,1.24462,0.20402727333333326
ROI6,5552,2.395,1.3544072733333332
ROI7,567,1.55881,0.54680131
ROI7,1892,1.57873,0.5667213099999999
ROI7,3241,1.45209,0.44008131000000006
ROI7,5553,1.68708,0.6750713099999999
ROI7,5872,1.28597,0.27396131
ROI8,572,1.63307,0.606850871
ROI8,1899,1.7161,0.689880871
ROI8,3247,1.70213,0.6759108709999999
ROI8,5558,1.76032,0.7341008710000001
ROI9,565,1.84208,0.8140254933333331
ROI9,1895,1.98382,0.955765493333333
ROI9,3243,1.95827,0.9302154933333331
ROI9,5556,2.0747,1.0466454933333331
ROI10,566,2.3078,1.2594605766666664
ROI10,1892,2.3594,1.3110605766666665
ROI10,3241,2.2447,1.1963605766666665
ROI10,5551,2.4617,1.4133605766666666
ROI11,563,1.56872,0.557976738
ROI11,1893,1.59183,0.5810867380000002
ROI11,3240,1.61988,0.6091367380000001
ROI11,5552,1.64089,0.6301467380000001
ROI12,565,2.0331,1.0021441266666669
ROI12,1892,2.1224,1.0914441266666666
ROI12,3239,2.0436,1.0126441266666668
ROI12,5552,2.1721,1.1411441266666666
ROI13,565,1.60967,0.5892689766666668
ROI13,1892,1.64301,0.6226089766666669
ROI13,3240,1.57499,0.5545889766666667
ROI13,5551,1.62582,0.6054189766666669
ROI14,564,2.0,0.9691272676666669
ROI14,1892,2.0009,0.970027267666667
ROI14,3240,2.0719,1.0410272676666668
ROI14,5551,2.076,1.045127267666667
ROI15,566,2.0277,0.9996204266666664
ROI15,1893,2.0199,0.9918204266666664
ROI15,3241,1.97127,0.9431904266666666
ROI15,5551,2.0829,1.0548204266666665
ROI16,566,1.48562,0.47071933333333327
ROI16,1896,1.52245,0.5075493333333334
ROI16,3243,1.59179,0.5768893333333334
ROI16,5552,1.56768,0.5527793333333333
ROI17,1913,1.081162,0.07575197
ROI17,3238,1.10955,0.10413997000000008
ROI17,5562,1.13058,0.12516996999999996
ROI18,564,1.73092,0.7098783150000001
ROI18,1893,1.64631,0.625268315
ROI18,3240,1.91893,0.8978883150000001
ROI18,5551,1.89222,0.8711783150000001
ROI19,565,1.69071,0.6706358266666665
ROI19,1892,1.66863,0.6485558266666667
ROI19,3240,1.73512,0.7150458266666666
ROI19,5551,1.72421,0.7041358266666666
ROI20,564,1.77704,0.7530220946666666
ROI20,1892,1.87222,0.8482020946666666
ROI20,3240,1.89712,0.8731020946666666
ROI20,4767,1.50256,0.47854209466666653
ROI20,5552,1.95072,0.9267020946666666
ROI21,565,2.0513,1.0159730199999997
ROI21,1892,2.1348,1.0994730199999996
ROI21,3241,2.0815,1.04617302
ROI21,5552,2.3428,1.3074730199999998
ROI22,564,1.65569,0.6392012
ROI22,1893,1.66068,0.6441911999999999
ROI22,3240,1.69989,0.6834011999999998
ROI22,5554,1.77152,0.7550311999999999
ROI23,564,1.71049,0.6996417730000002
ROI23,1891,1.73572,0.724871773
ROI23,3241,1.7679,0.7570517730000001
ROI23,5550,1.7571,0.7462517730000002
ROI24,564,1.73649,0.7143409426666667
ROI24,1891,1.798,0.7758509426666667
ROI24,3241,1.77798,0.7558309426666665
ROI24,5551,1.90643,0.8842809426666667
