roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,1247.0,0.8333333333333334
ROI2,1246.75,0.8333333333333334
ROI3,1662.3333333333333,0.6666666666666666
ROI4,1246.75,0.8333333333333334
ROI5,1246.5,0.8333333333333334
ROI6,1246.75,0.8333333333333334
ROI7,1326.25,0.8333333333333334
ROI8,1662.0,0.6666666666666666
ROI9,1663.6666666666667,0.6666666666666666
ROI10,1661.6666666666667,0.6666666666666666
ROI11,1663.0,0.6666666666666666
ROI12,1662.3333333333333,0.6666666666666666
ROI13,1662.0,0.6666666666666666
ROI14,1662.3333333333333,0.6666666666666666
ROI15,1661.6666666666667,0.6666666666666666
ROI16,1662.0,0.6666666666666666
ROI17,1824.5,0.5
ROI18,1662.3333333333333,0.6666666666666666
ROI19,1662.0,0.6666666666666666
ROI20,1247.0,0.8333333333333334
ROI21,1662.3333333333333,0.6666666666666666
ROI22,1663.3333333333333,0.6666666666666666
ROI23,1662.0,0.6666666666666666
ROI24,1662.3333333333333,0.6666666666666666
ROI25,1246.5,0.8333333333333334
ROI26,1662.6666666666667,0.6666666666666666
ROI27,1246.5,0.8333333333333334
ROI28,1662.3333333333333,0.6666666666666666
ROI29,1662.6666666666667,0.6666666666666666
ROI30,1245.25,0.8333333333333334
ROI31,1662.6666666666667,0.6666666666666666
ROI32,1663.3333333333333,0.6666666666666666
ROI33,1247.25,0.8333333333333334
ROI34,1662.0,0.6666666666666666
ROI35,1662.0,0.6666666666666666
ROI36,1662.0,0.6666666666666666
ROI37,1246.25,0.8333333333333334
ROI38,1662.3333333333333,0.6666666666666666
ROI39,1662.0,0.6666666666666666
ROI40,1662.3333333333333,0.6666666666666666
ROI41,1662.6666666666667,0.6666666666666666
ROI42,1662.6666666666667,0.6666666666666666
ROI43,1246.75,0.8333333333333334
ROI44,1662.6666666666667,0.6666666666666666
ROI45,1662.3333333333333,0.6666666666666666
ROI46,1662.0,0.6666666666666666
ROI47,1663.0,0.6666666666666666
ROI48,1661.0,0.6666666666666666
ROI49,1662.0,0.6666666666666666
ROI50,1247.0,0.8333333333333334
ROI51,1663.0,0.6666666666666666
ROI52,1662.3333333333333,0.6666666666666666
ROI53,1661.6666666666667,0.6666666666666666
ROI54,1662.6666666666667,0.6666666666666666
ROI55,1662.0,0.6666666666666666
ROI56,1662.0,0.6666666666666666
ROI57,1663.0,0.6666666666666666
ROI58,1662.0,0.6666666666666666
ROI59,1662.6666666666667,0.6666666666666666
ROI60,1663.0,0.6666666666666666
ROI61,1662.0,0.6666666666666666
ROI62,1662.3333333333333,0.6666666666666666
ROI63,1662.0,0.6666666666666666
ROI64,1247.75,0.8333333333333334
ROI65,1661.6666666666667,0.6666666666666666
ROI66,1662.0,0.6666666666666666
ROI67,1662.0,0.6666666666666666
ROI68,1662.6666666666667,0.6666666666666666
ROI69,1662.3333333333333,0.6666666666666666
ROI70,1662.3333333333333,0.6666666666666666
ROI71,1663.3333333333333,0.6666666666666666
ROI72,1662.6666666666667,0.6666666666666666
ROI73,1247.25,0.8333333333333334
ROI74,1659.6666666666667,0.6666666666666666
ROI75,1662.0,0.6666666666666666
ROI76,1662.6666666666667,0.6666666666666666
ROI77,1246.5,0.8333333333333334
ROI78,1663.0,0.6666666666666666
ROI79,1246.75,0.8333333333333334
ROI80,1662.0,0.6666666666666666
ROI81,1661.3333333333333,0.6666666666666666
ROI82,1662.3333333333333,0.6666666666666666
ROI83,1662.0,0.6666666666666666
ROI84,1246.75,0.8333333333333334
ROI85,1663.6666666666667,0.6666666666666666
ROI86,1661.6666666666667,0.6666666666666666
ROI87,1663.0,0.6666666666666666
ROI88,1662.6666666666667,0.6666666666666666
ROI89,1246.25,0.8333333333333334
ROI90,1326.25,0.8333333333333334
ROI91,1661.6666666666667,0.6666666666666666
ROI92,1662.3333333333333,0.6666666666666666
ROI93,1662.6666666666667,0.6666666666666666
ROI94,1663.0,0.6666666666666666
ROI95,1662.3333333333333,0.6666666666666666
ROI96,1664.0,0.6666666666666666
ROI97,1662.6666666666667,0.6666666666666666
ROI98,1662.0,0.6666666666666666
ROI99,1662.0,0.6666666666666666
ROI100,1662.3333333333333,0.6666666666666666
ROI101,1326.5,0.8333333333333334
ROI102,1668.3333333333333,0.6666666666666666
ROI103,1659.3333333333333,0.6666666666666666
ROI104,1662.3333333333333,0.6666666666666666
ROI105,1662.3333333333333,0.6666666666666666
ROI106,1662.0,0.6666666666666666
