roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI8,2453,1.3009,0.2828431606666666
ROI8,2638,1.21377,0.19571316066666666
ROI8,2769,1.25624,0.23818316066666667
ROI8,2843,1.25439,0.23633316066666654
ROI8,2872,1.26863,0.2505731606666666
ROI8,3355,1.33262,0.31456316066666656
ROI8,3624,1.261,0.24294316066666655
ROI8,3822,1.23339,0.21533316066666663
ROI8,4179,1.23346,0.21540316066666665
ROI8,4364,1.21804,0.19998316066666666
ROI8,5677,1.26316,0.2451031606666667
ROI9,,,
