roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,428,1.5455,0.5234043366666667
ROI1,827,1.35089,0.3287943366666666
ROI1,2369,1.6777,0.6556043366666666
ROI1,2598,1.086602,0.06450633666666672
ROI1,2959,1.14509,0.12299433666666659
ROI1,3453,1.17801,0.15591433666666665
ROI1,3785,1.13535,0.11325433666666673
ROI1,4184,1.12281,0.10071433666666674
ROI1,4531,1.13232,0.11022433666666664
ROI1,4623,1.13899,0.1168943366666666
ROI1,5164,1.14022,0.11812433666666666
ROI1,5528,1.091066,0.06897033666666674
ROI1,6038,1.77109,0.7489943366666667
ROI1,6805,1.11836,0.09626433666666667
ROI1,6877,1.41367,0.39157433666666663
ROI1,7977,1.35552,0.3334243366666667
ROI1,8694,1.81364,0.7915443366666666
ROI1,9545,1.15346,0.13136433666666658
ROI1,11099,1.1058,0.08370433666666655
ROI1,11482,1.88131,0.8592143366666667
ROI1,12015,1.4881,0.46600433666666663
ROI1,12445,1.1966,0.17450433666666676
ROI1,12517,1.15499,0.1328943366666666
ROI1,13741,1.90297,0.8808743366666667
ROI1,14191,1.1588,0.1367043366666667
ROI1,15877,1.18806,0.16596433666666655
ROI2,425,1.57562,0.5460766006666666
ROI2,827,1.18897,0.1594266006666667
ROI2,2367,1.62942,0.5998766006666667
ROI2,3072,1.19944,0.16989660066666668
ROI2,6036,1.80173,0.7721866006666667
ROI2,6876,1.21692,0.18737660066666662
ROI2,7987,1.17912,0.14957660066666656
ROI2,8689,1.85204,0.8224966006666665
ROI2,11484,1.89278,0.8632366006666665
ROI2,11712,1.14442,0.1148766006666666
ROI2,12012,1.38123,0.35168660066666657
ROI2,13741,1.87428,0.8447366006666666
ROI2,14815,1.19109,0.1615466006666666
ROI3,425,1.44821,0.416044536
ROI3,826,1.36686,0.334694536
ROI3,2369,1.55073,0.518564536
ROI3,2947,1.46808,0.4359145360000001
ROI3,3451,1.47688,0.444714536
ROI3,3784,1.43143,0.399264536
ROI3,4184,1.45297,0.4208045360000001
ROI3,4528,1.46331,0.43114453600000013
ROI3,5163,1.53616,0.503994536
ROI3,6038,1.68058,0.648414536
ROI3,6871,1.55277,0.520604536
ROI3,7980,1.3762,0.3440345360000001
ROI3,8692,1.74698,0.714814536
ROI3,9545,1.57191,0.5397445359999999
ROI3,11475,1.90429,0.8721245360000001
ROI3,12015,1.57822,0.546054536
ROI3,12517,1.35819,0.32602453600000003
ROI3,13738,1.88931,0.8571445360000001
ROI3,14191,1.37024,0.3380745359999999
ROI3,15877,1.43069,0.39852453600000004
ROI4,431,1.52369,0.4828535100000002
ROI4,827,1.21395,0.1731135100000003
ROI4,2371,1.61954,0.5787035100000002
