roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,574,1.52444,0.4993781182666668
ROI1,3183,1.82502,0.7999581182666669
ROI1,4938,1.74203,0.7169681182666667
ROI2,574,1.39942,0.3737666066666665
ROI2,3185,1.55335,0.5276966066666664
ROI2,4938,1.61289,0.5872366066666663
ROI3,568,1.85087,0.8091208436666668
ROI3,3183,1.8851,0.8433508436666668
ROI3,4933,1.81798,0.7762308436666667
ROI4,568,1.99048,0.9550314733333336
ROI4,3185,1.96416,0.9287114733333335
ROI4,4933,1.86569,0.8302414733333336
ROI5,567,1.56433,0.5283928366666666
ROI5,3183,1.83646,0.8005228366666666
ROI5,4934,1.67024,0.6343028366666665
ROI6,567,1.54553,0.5096097833333333
ROI6,3182,1.63215,0.5962297833333332
ROI6,4935,1.606,0.5700797833333333
ROI6,5109,1.26343,0.22750978333333327
ROI7,570,1.55197,0.5128795000000002
ROI7,3187,1.61996,0.5808695000000001
ROI7,4934,1.47609,0.4369995
ROI8,569,1.6425,0.6060854866666667
ROI8,2542,1.51858,0.4821654866666667
ROI8,3181,1.52199,0.4855754866666666
ROI8,4931,1.57148,0.5350654866666666
ROI9,573,1.38581,0.35092160333333333
ROI9,3187,1.40183,0.36694160333333325
ROI9,4938,1.62176,0.5868716033333334
ROI10,572,1.6131,0.5848294676666665
ROI10,3184,1.38875,0.3604794676666665
ROI10,4940,1.36782,0.3395494676666666
ROI11,570,1.65081,0.6147509966666667
ROI11,3184,1.67745,0.6413909966666667
ROI11,4934,1.68456,0.6485009966666666
ROI12,568,1.68335,0.6489129213333333
ROI12,1901,1.44851,0.4140729213333334
ROI12,3183,1.78029,0.7458529213333334
ROI12,4932,1.64745,0.6130129213333335
ROI13,573,1.42164,0.39433068066666666
ROI13,3187,1.44337,0.4160606806666667
ROI13,4938,1.44832,0.4210106806666667
ROI14,575,1.60139,0.5770160166666667
ROI14,3187,1.61214,0.5877660166666665
ROI14,4940,1.57618,0.5518060166666665
ROI15,546,1.47579,0.44844735999999985
ROI15,567,1.63606,0.60871736
ROI15,3181,1.65087,0.62352736
ROI15,4933,1.62439,0.5970473599999999
ROI16,568,1.64561,0.6145279399999999
ROI16,3183,1.81738,0.7862979399999999
ROI16,4933,1.52829,0.4972079399999998
