roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,2182.0,0.5
ROI2,1454.6666666666667,0.6666666666666666
ROI3,1455.0,0.6666666666666666
ROI4,1623.0,0.6666666666666666
ROI5,2183.5,0.5
ROI6,1514.0,0.6666666666666666
ROI7,2182.0,0.5
ROI8,1454.0,0.6666666666666666
ROI9,2182.5,0.5
ROI10,2184.0,0.5
ROI11,2182.0,0.5
ROI12,1454.6666666666667,0.6666666666666666
ROI13,1455.0,0.6666666666666666
ROI14,1455.0,0.6666666666666666
ROI15,1462.3333333333333,0.6666666666666666
ROI16,1455.0,0.6666666666666666
