roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,200,1.44168,0.40521004000000027
ROI1,465,1.60877,0.5723000400000002
ROI1,757,1.58897,0.5525000400000002
ROI1,994,1.40485,0.36838004000000013
ROI1,1291,1.54058,0.5041100400000003
ROI1,1441,1.57478,0.5383100400000003
ROI1,1677,1.62116,0.5846900400000001
ROI1,1944,1.55094,0.5144700400000002
ROI1,2251,1.46045,0.4239800400000002
ROI1,2496,1.57961,0.5431400400000002
ROI1,2724,1.46862,0.43215004000000024
ROI1,3018,1.51175,0.4752800400000001
ROI1,3231,1.65649,0.6200200400000002
ROI1,3634,1.63716,0.6006900400000001
ROI1,3887,1.53298,0.4965100400000002
ROI1,4146,1.64599,0.6095200400000003
ROI1,4485,1.63755,0.6010800400000003
ROI1,4781,1.56815,0.5316800400000001
ROI1,4992,1.6544,0.6179300400000003
ROI1,5258,1.76936,0.7328900400000002
ROI1,5580,1.80599,0.7695200400000002
ROI1,5748,1.58443,0.5479600400000002
ROI2,467,1.49805,0.44733238333333336
ROI2,659,1.48908,0.4383623833333332
ROI2,759,1.42722,0.3765023833333332
ROI2,1677,1.42658,0.3758623833333332
ROI2,1949,1.58481,0.5340923833333333
ROI2,2244,1.53191,0.48119238333333336
ROI2,2500,1.56303,0.5123123833333332
ROI2,3021,1.3997,0.3489823833333332
ROI2,3232,1.50428,0.4535623833333333
ROI2,3630,1.52968,0.4789623833333332
ROI2,3893,1.42956,0.3788423833333332
ROI2,4150,1.36572,0.3150023833333333
ROI2,4484,1.55293,0.5022123833333332
ROI2,4780,1.48757,0.4368523833333333
ROI2,4990,1.47701,0.4262923833333332
ROI2,5263,1.58905,0.5383323833333333
ROI2,5583,1.71348,0.6627623833333331
ROI2,5759,1.49053,0.43981238333333317
ROI3,462,1.69339,0.65116985
ROI3,762,1.7633,0.7210798500000002
ROI3,999,1.46333,0.4211098500000001
ROI3,1287,1.50165,0.45942985000000003
ROI3,1439,1.59371,0.5514898500000001
ROI3,1680,1.5734,0.53117985
ROI3,1939,1.51158,0.46935985
ROI3,2255,1.44004,0.3978198500000001
ROI3,2495,1.58279,0.54056985
ROI3,2725,1.36932,0.3270998500000002
ROI3,3020,1.37127,0.3290498500000001
ROI3,3227,1.39894,0.35671985000000017
ROI3,3625,1.47813,0.43590985000000004
ROI3,4147,1.41924,0.37701985000000016
ROI3,4490,1.45837,0.41614985000000004
ROI3,4996,1.52398,0.48175985
ROI3,5263,1.57951,0.5372898500000001
ROI3,5580,1.56581,0.52358985
ROI3,5749,1.41879,0.3765698500000001
ROI4,462,1.59521,0.5593813866666666
ROI4,755,1.54539,0.5095613866666666
ROI4,996,1.36998,0.33415138666666655
ROI4,1291,1.30258,0.26675138666666665
ROI4,1445,1.38682,0.3509913866666665
ROI4,1679,1.33498,0.29915138666666663
ROI4,1939,1.33019,0.29436138666666656
ROI4,2250,1.3771,0.34127138666666657
ROI4,2494,1.31293,0.2771013866666665
ROI4,2731,1.2998,0.26397138666666664
ROI4,3228,1.34298,0.30715138666666664
ROI4,3636,1.44471,0.4088813866666665
ROI4,3895,1.39453,0.3587013866666666
ROI4,4490,1.38109,0.3452613866666665
ROI4,4992,1.38262,0.34679138666666653
ROI4,5263,1.40672,0.37089138666666654
ROI4,5579,1.45817,0.42234138666666654
ROI5,453,1.37233,0.32955836333333344
ROI5,659,1.44787,0.4050983633333334
ROI5,756,1.37267,0.32989836333333344
ROI5,965,1.36459,0.32181836333333336
ROI5,1303,1.31248,0.2697083633333335
ROI5,1438,1.35285,0.3100783633333335
ROI5,1661,1.32375,0.28097836333333337
ROI5,1949,1.56523,0.5224583633333333
ROI5,2246,1.45164,0.40886836333333343
ROI5,2495,1.46724,0.4244683633333335
ROI5,2685,1.38189,0.33911836333333345
ROI5,3017,1.28045,0.23767836333333348
ROI5,3217,1.43177,0.3889983633333334
ROI5,3439,1.3831,0.3403283633333334
ROI5,3624,1.46958,0.4268083633333335
ROI5,3885,1.38505,0.3422783633333333
ROI5,4149,1.30785,0.26507836333333334
ROI5,4483,1.40568,0.36290836333333343
ROI5,4988,1.43697,0.39419836333333347
ROI5,5263,1.54374,0.5009683633333333
ROI5,5579,1.48582,0.4430483633333333
ROI5,5760,1.38826,0.34548836333333344
ROI6,465,1.36575,0.3251779400000001
ROI6,758,1.48046,0.4398879400000002
ROI6,998,1.32502,0.2844479400000002
ROI6,1291,1.36088,0.3203079400000002
ROI6,1680,1.39942,0.3588479400000002
ROI6,1942,1.35286,0.31228794000000004
ROI6,2249,1.40342,0.36284794
ROI6,2495,1.47547,0.43489794000000015
ROI6,3024,1.39403,0.3534579400000002
ROI6,3231,1.3208,0.28022794000000006
ROI6,3629,1.39772,0.35714794000000016
ROI6,3886,1.47534,0.4347679400000002
ROI6,4146,1.34848,0.30790794
ROI6,4485,1.45677,0.41619794
ROI6,4780,1.3897,0.34912794
ROI6,4998,1.38842,0.3478479400000001
ROI6,5257,1.44225,0.4016779400000001
ROI6,5582,1.4285,0.3879279400000002
ROI6,5747,1.41169,0.37111794
