roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,170,1.6753,0.6474367766666669
ROI1,439,1.83357,0.8057067766666668
ROI1,702,1.88448,0.8566167766666668
ROI1,895,1.81063,0.7827667766666668
ROI1,1190,1.93388,0.9060167766666669
ROI1,1460,1.94294,0.9150767766666668
ROI1,1827,1.9501,0.9222367766666668
ROI1,2094,2.0038,0.9759367766666669
ROI1,2398,1.99216,0.9642967766666668
ROI1,2638,1.97153,0.9436667766666669
ROI1,2879,2.0496,1.0217367766666667
ROI1,3150,2.0634,1.035536776666667
ROI1,3671,2.134,1.1061367766666668
ROI1,3869,2.0301,1.0022367766666669
ROI1,4139,2.0926,1.0647367766666669
ROI1,4364,2.0517,1.0238367766666667
ROI1,4605,2.153,1.125136776666667
ROI1,5031,2.0903,1.062436776666667
ROI1,5265,1.88429,0.8564267766666669
ROI1,5447,1.8955,0.8676367766666668
ROI1,5851,2.2321,1.2042367766666668
ROI2,173,1.60909,0.5828349446666665
ROI2,439,1.89203,0.8657749446666667
ROI2,702,1.81496,0.7887049446666665
ROI2,901,1.53995,0.5136949446666665
ROI2,1190,1.8456,0.8193449446666665
ROI2,1460,1.67913,0.6528749446666666
ROI2,1827,1.67674,0.6504849446666665
ROI2,2090,1.99441,0.9681549446666666
ROI2,2399,1.78617,0.7599149446666666
ROI2,2637,1.65302,0.6267649446666665
ROI2,2879,2.0028,0.9765449446666667
ROI2,3149,1.8357,0.8094449446666667
ROI2,3670,2.1706,1.1443449446666665
ROI2,3869,1.8103,0.7840449446666666
ROI2,4138,1.93828,0.9120249446666666
ROI2,4358,1.70816,0.6819049446666665
ROI2,4602,1.89585,0.8695949446666666
ROI2,5031,1.69511,0.6688549446666665
ROI2,5268,1.54621,0.5199549446666667
ROI2,5450,1.5724,0.5461449446666666
ROI2,5851,2.0649,1.0386449446666668
ROI3,177,2.1611,1.1438085449999997
ROI3,428,1.9798,0.9625085449999999
ROI3,537,1.24051,0.22321854499999993
ROI3,698,1.2902,0.27290854499999995
ROI3,893,1.32653,0.3092385449999999
ROI3,1183,1.3172,0.29990854499999986
ROI3,1465,1.35438,0.33708854499999985
ROI3,1612,2.2625,1.245208545
ROI3,1833,1.22427,0.2069785449999999
ROI3,2099,2.2824,1.265108545
ROI3,2402,1.367,0.3497085449999999
ROI3,2638,1.36963,0.35233854499999984
ROI3,2889,2.309,1.291708545
ROI3,3142,2.3357,1.318408545
ROI3,3672,2.3588,1.341508545
ROI3,3874,1.29859,0.28129854499999984
ROI3,4138,2.3817,1.3644085449999999
ROI3,4367,2.1385,1.121208545
ROI3,4603,1.33759,0.320298545
ROI3,4928,1.28982,0.2725285449999999
ROI3,5027,2.4775,1.460208545
ROI3,5263,1.40912,0.39182854499999986
ROI3,5445,1.29937,0.28207854499999985
ROI3,5851,1.28584,0.268548545
ROI4,183,1.73467,0.7228823799999997
ROI4,312,1.21856,0.20677237999999987
ROI4,353,1.26189,0.25010237999999974
ROI4,431,1.73514,0.7233523799999997
ROI4,529,1.21311,0.2013223799999997
ROI4,702,1.22106,0.2092723799999998
ROI4,902,1.16918,0.1573923799999999
ROI4,1616,1.91604,0.9042523799999997
ROI4,2102,1.85004,0.8382523799999997
ROI4,2893,2.0532,1.0414123799999997
ROI4,3144,1.94204,0.9302523799999998
ROI4,3675,2.0317,1.0199123799999996
ROI4,3877,1.18857,0.17678237999999968
ROI4,4141,1.94488,0.9330923799999997
ROI4,4368,2.0133,1.0015123799999999
ROI4,5030,1.99891,0.9871223799999997
ROI4,5850,1.20855,0.1967623799999998
ROI5,1844,1.1026,0.08916219333333353
ROI5,2113,1.11752,0.10408219333333357
ROI5,2407,1.12791,0.11447219333333347
ROI5,2651,1.149,0.13556219333333352
ROI5,2888,1.15851,0.14507219333333343
ROI5,3144,1.18426,0.1708221933333336
ROI5,3428,1.1548,0.14136219333333355
ROI5,3678,1.21159,0.19815219333333345
ROI5,3864,1.2149,0.2014621933333336
ROI5,4149,1.23868,0.2252421933333335
ROI5,4368,1.25207,0.23863219333333352
ROI5,4611,1.26711,0.25367219333333346
