0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.625,1.0,0.75,0.75,0.625,0.75,1.0,1.0
1.0,1.0,0.8333333333333333,0.8,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0
1.0,0.8333333333333333,1.0,0.8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0
1.0,0.8,0.8,1.0,0.8,0.8,0.8,0.6000000000000002,0.8,0.8,0.8,0.6000000000000002,0.8,0.8,0.8
1.0,1.0,0.8333333333333333,0.8,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0
0.75,1.0,0.8333333333333333,0.8,1.0,1.0,0.8571428571428571,0.43478260869565216,1.0,0.6000000000000001,1.0,0.7272727272727273,0.75,1.0,1.0
0.857142857142857,1.0,0.8333333333333333,0.8,1.0,0.8571428571428571,1.0,0.7142857142857142,1.0,0.857142857142857,0.8571428571428571,0.7142857142857142,0.8571428571428571,1.0,1.0
0.625,0.8333333333333333,0.8333333333333333,0.6000000000000002,0.8333333333333333,0.43478260869565216,0.7142857142857142,1.0,0.8333333333333333,0.3333333333333333,0.625,0.6363636363636364,0.75,0.6666666666666666,0.8333333333333333
1.0,1.0,0.8333333333333333,0.8,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0
0.75,1.0,1.0,0.8,1.0,0.6000000000000001,0.8571428571428571,0.3333333333333333,1.0,1.0,0.875,0.4545454545454546,0.75,1.0,1.0
0.75,1.0,0.8333333333333333,0.8,1.0,1.0,0.8571428571428571,0.625,1.0,0.875,1.0,0.625,0.75,1.0,1.0
0.625,0.8333333333333333,0.8333333333333333,0.6000000000000002,0.8333333333333333,0.7272727272727273,0.7142857142857142,0.6363636363636364,0.8333333333333333,0.4545454545454546,0.625,1.0,0.75,0.6666666666666666,0.8333333333333333
0.75,1.0,0.8333333333333333,0.8,1.0,0.75,0.8571428571428571,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0
1.0,1.0,0.8333333333333333,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0
