roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,1475.5,0.5
ROI2,1475.5,0.5
ROI3,1474.5,0.5
ROI4,1477.0,0.5
ROI5,1476.0,0.5
ROI6,1474.5,0.5
ROI7,1475.0,0.5
ROI8,1475.5,0.5
ROI9,1476.0,0.5
ROI10,1143.6666666666667,0.6666666666666666
ROI11,1475.5,0.5
ROI12,1475.0,0.5
ROI13,984.3333333333334,0.6666666666666666
ROI14,1475.5,0.5
ROI15,1474.5,0.5
ROI16,1474.0,0.5
ROI17,983.3333333333334,0.6666666666666666
ROI18,1474.5,0.5
ROI19,1474.0,0.5
ROI20,1475.0,0.5
ROI21,1002.0,0.6666666666666666
ROI22,496.8333333333333,1.1666666666666667
ROI23,1474.0,0.5
ROI24,1476.0,0.5
ROI25,1475.5,0.5
ROI26,1281.0,0.6666666666666666
ROI27,1474.5,0.5
ROI28,1472.5,0.5
ROI29,1475.0,0.5
